dist_name,performance_tier,final_z_standardized,component_rank_spread,assist_status
ABC Unified (Los Angeles),Significant Overperformer,1.6741093088811467,64.0,Differentiated
Acalanes Union High (Contra Costa),Expected Performer,0.2536445195080529,589.0,General
Acton-Agua Dulce Unified (Los Angeles),Significant Underperformer,-1.5490281746250287,340.0,Differentiated
Adelanto Elementary (San Bernardino),Significant Underperformer,-1.9773276173366798,98.0,Differentiated
Alameda Unified (Alameda),Moderate Overperformer,0.6571277096059011,250.0,Differentiated
Albany City Unified (Alameda),Significant Overperformer,1.501516489490548,96.0,General
Alexander Valley Union Elementary (Sonoma),Moderate Overperformer,0.9209932381945299,162.0,General
Alhambra Unified (Los Angeles),Significant Overperformer,2.1483023658645144,166.0,Differentiated
Alisal Union (Monterey),Moderate Underperformer,-1.1063485157037072,369.0,General
Allensworth Elementary (Tulare),Moderate Underperformer,-1.485629816447377,42.0,Differentiated
Alpaugh Unified (Tulare),Moderate Underperformer,-1.0648077537364393,301.0,General
Alpine County Unified (Alpine),Moderate Underperformer,-0.8688810290159427,275.0,General
Alpine Union Elementary (San Diego),Moderate Underperformer,-0.6822859662629207,311.0,Differentiated
Alta Loma Elementary (San Bernardino),Moderate Overperformer,0.8233497209340191,327.0,General
Alta Vista Elementary (Tulare),Expected Performer,-0.25458228744554795,204.0,Differentiated
Alta-Dutch Flat Union Elementary (Placer),Significant Underperformer,-1.8260568727127848,153.0,General
Alum Rock Union Elementary (Santa Clara),Moderate Underperformer,-1.246754633482925,220.0,Differentiated
Alview-Dairyland Union Elementary (Madera),Moderate Overperformer,1.0238196477049013,169.0,General
Alvord Unified (Riverside),Expected Performer,-0.1738675455712919,262.0,Differentiated
Amador County Unified (Amador),Moderate Underperformer,-1.4004356244651388,178.0,Differentiated
Anaheim Elementary (Orange),Moderate Underperformer,-0.6626052602200578,193.0,General
Anaheim Union High (Orange),Expected Performer,0.06106404057449589,365.0,Differentiated
Anderson Union High (Shasta),Expected Performer,0.34986550164958924,283.0,Differentiated
