GeoId|Geography|LEAID|Year|Iteration|DP02_59est|DP02_59moe|DP02_60est|DP02_60moe|DP02_60pct|DP02_60pctmoe|DP02_61est|DP02_61moe|DP02_61pct|DP02_61pctmoe|DP02_62est|DP02_62moe|DP02_62pct|DP02_62pctmoe|DP02_63est|DP02_63moe|DP02_63pct|DP02_63pctmoe|DP02_64est|DP02_64moe|DP02_64pct|DP02_64pctmoe|DP02_65est|DP02_65moe|DP02_65pct|DP02_65pctmoe|DP02_66est|DP02_66moe|DP02_66pct|DP02_66pctmoe|DP02_67est|DP02_67moe|DP02_67pct|DP02_67pctmoe|DP02_68est|DP02_68moe|DP02_68pct|DP02_68pctmoe
9700000US0601620|ABC Unified School District, CA|0601620|2019-2023|001|74014|1297|5730|779|7.7|1.0|4527|661|6.1|0.9|14238|910|19.2|1.2|12707|745|17.2|1.0|6191|512|8.4|0.7|20180|1093|27.3|1.4|10441|738|14.1|1.0|63757|1321|86.1|1.3|30621|1275|41.4|1.6
9600000US0601650|Acalanes Union High School District, CA|0601650|2019-2023|001|86690|1752|766|238|0.9|0.3|801|215|0.9|0.2|5725|596|6.6|0.6|9482|832|10.9|0.9|4445|490|5.1|0.6|33524|1176|38.7|1.2|31947|1279|36.9|1.4|85123|1731|98.2|0.4|65471|1391|75.5|1.2
9500000US0601680|Ackerman Elementary School District, CA|0601680|2019-2023|001|2689|432|22|26|0.8|1.0|199|204|7.4|7.4|682|279|25.4|10.2|730|241|27.1|7.3|332|94|12.3|3.8|485|164|18.0|4.9|239|161|8.9|5.3|2468|452|91.8|7.9|724|307|26.9|9.4
9700000US0600001|Acton-Agua Dulce Unified School District, CA|0600001|2019-2023|001|8846|656|342|161|3.9|1.8|375|139|4.2|1.6|2697|537|30.5|5.0|2163|394|24.5|4.4|861|232|9.7|2.5|1546|274|17.5|3.2|862|290|9.7|3.1|8129|665|91.9|2.7|2408|399|27.2|4.2
9500000US0601710|Adelanto Elementary School District, CA|0601710|2019-2023|001|38621|1271|3884|550|10.1|1.4|6271|706|16.2|1.8|11291|987|29.2|2.1|9688|849|25.1|2.0|2919|548|7.6|1.4|3092|621|8.0|1.6|1476|308|3.8|0.8|28466|1351|73.7|2.2|4568|741|11.8|1.9
9700000US0601770|Alameda City Unified School District, CA|0601770|2019-2023|001|55807|888|2051|388|3.7|0.7|1619|272|2.9|0.5|6041|620|10.8|1.1|8828|608|15.8|1.1|3605|448|6.5|0.8|19464|1119|34.9|1.9|14199|850|25.4|1.6|52137|948|93.4|0.8|33663|981|60.3|1.6
9700000US0601860|Albany City Unified School District, CA|0601860|2019-2023|001|13717|353|222|86|1.6|0.6|138|56|1.0|0.4|1187|295|8.7|2.1|1156|197|8.4|1.4|541|114|3.9|0.8|4692|301|34.2|2.2|5781|378|42.1|2.7|13357|367|97.4|0.8|10473|377|76.4|2.5
9500000US0601890|Alexander Valley Union School District, CA|0601890|2019-2023|001|744|190|125|86|16.8|10.7|64|50|8.6|6.4|95|47|12.8|5.9|101|40|13.6|5.3|36|22|4.8|3.1|213|103|28.6|10.1|110|45|14.8|4.7|555|164|74.6|12.5|323|136|43.4|12.7
9600000US0606037|Alhambra Unified School District (9-12), CA|0606037|2019-2023|001|36405|1365|8553|1019|23.5|2.4|3916|451|10.8|1.1|9882|704|27.1|1.8|3849|483|10.6|1.3|2215|313|6.1|0.9|6779|668|18.6|1.8|1211|265|3.3|0.7|23936|984|65.7|2.2|7990|765|21.9|2.1
9700000US0600153|Alhambra Unified School District, CA|0600153|2019-2023|001|87658|1358|9131|797|10.4|0.9|5952|607|6.8|0.7|18838|1096|21.5|1.2|13212|852|15.1|1.0|6374|551|7.3|0.6|22734|1273|25.9|1.4|11417|764|13.0|0.9|72575|1372|82.8|1.0|34151|1573|39.0|1.7
9500000US0601950|Alisal Union Elementary School District, CA|0601950|2019-2023|001|33206|1388|10985|813|33.1|2.3|5501|552|16.6|1.7|7794|878|23.5|2.4|3424|461|10.3|1.4|1996|360|6.0|1.1|2552|680|7.7|1.9|954|235|2.9|0.7|16720|1268|50.4|2.6|3506|770|10.6|2.1
9500000US0601980|Allensworth Elementary School District, CA|0601980|2019-2023|001|258|69|90|39|34.9|13.5|21|16|8.1|5.9|87|45|33.7|12.3|23|14|8.9|5.5|15|23|5.8|8.6|14|12|5.4|4.6|8|12|3.1|4.7|147|58|57.0|14.0|22|16|8.5|6.1
9700000US0602010|Alpaugh Unified School District, CA|0602010|2019-2023|001|499|119|118|49|23.6|8.4|129|53|25.9|8.6|199|66|39.9|8.3|49|31|9.8|6.0|4|9|0.8|1.7|0|14|0.0|8.2|0|14|0.0|8.2|252|79|50.5|9.7|0|14|0.0|8.2
9700000US0602070|Alpine County Unified School District, CA|0602070|2019-2023|001|1178|175|20|31|1.7|2.4|24|18|2.0|1.6|218|80|18.5|6.1|291|88|24.7|6.6|129|68|11.0|5.2|264|102|22.4|7.3|232|111|19.7|9.3|1134|171|96.3|2.9|496|135|42.1|9.7
9500000US0602100|Alpine Union Elementary School District, CA|0602100|2019-2023|001|13633|889|190|163|1.4|1.2|459|158|3.4|1.2|3094|457|22.7|3.2|4324|571|31.7|3.6|1418|302|10.4|2.1|2788|596|20.5|3.8|1360|292|10.0|2.2|12984|901|95.2|1.6|4148|610|30.4|3.7
9500000US0602160|Alta Loma Elementary School District, CA|0602160|2019-2023|001|37631|1544|1269|298|3.4|0.8|1470|329|3.9|0.9|8133|906|21.6|2.1|8595|726|22.8|1.6|4565|525|12.1|1.3|8539|863|22.7|2.1|5060|510|13.4|1.4|34892|1556|92.7|1.2|13599|927|36.1|2.1
9500000US0602220|Alta Vista Elementary School District, CA|0602220|2019-2023|001|1454|334|447|168|30.7|7.5|170|66|11.7|4.6|476|160|32.7|7.8|221|90|15.2|5.7|60|44|4.1|2.8|71|47|4.9|3.1|9|11|0.6|0.7|837|215|57.6|7.9|80|48|5.5|3.1
9500000US0602250|Alta-Dutch Flat Union Elementary School District, CA|0602250|2019-2023|001|1357|231|7|11|0.5|0.8|29|18|2.1|1.3|269|62|19.8|4.4|449|103|33.1|5.1|119|36|8.8|2.7|326|89|24.0|5.0|158|73|11.6|4.0|1321|228|97.3|1.8|484|140|35.7|6.4
9500000US0602310|Alum Rock Union Elementary School District, CA|0602310|2019-2023|001|74296|2018|14396|945|19.4|1.1|6985|827|9.4|1.0|19144|1137|25.8|1.4|11721|755|15.8|1.0|5052|507|6.8|0.7|11754|765|15.8|0.9|5244|638|7.1|0.8|52915|1630|71.2|1.4|16998|979|22.9|1.2
