District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
ABC Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90703,"""Cerritos                      """,17612,9.8,0.2,23.7,6.7,11.6,45.7,0.5,4.3,2.9,4.5,58.5,21.77,55,95.2,94.1,21.6,29,780,184,180,56,16,2.1,11.9,53.07,64.96,19766,0,0,57,10,8,13,11
Acalanes Union High (Contra Costa),Contra Costa,High School District,No,09-12,94549,"""Lafayette                     """,5425,3.2,0.2,15.2,1.6,2,12.2,0.2,10.9,1.2,56.5,8.7,16.79,46,97.7,94.2,19.2,3,280,186,180,9,14,2.1,11.8,65.45,81.01,20508,0,1,58,12,7,12,11
Ackerman Charter (Placer),Placer,Elementary School District,No,K-08,95603,"""Auburn                        """,606,4,0.2,0.8,0.5,0.8,18,0,10.1,0,69.6,25.1,3.47,32,N/A,N/A,21.6,0,28,184,180,1,14,0.5,6.5,52.48,61.46,13572,0,1,51,14,6,7,12
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,93510,"""Acton                         """,13443,8.5,0.4,2.4,7,0.7,58.5,0.2,5.7,1.6,23.5,65.6,19.75,42,41.6,38.1,20.7,15,708,N/A,N/A,45,14,0.3,36.4,19.92,34.17,25419,0,1,66,8,9,5,10
Adelanto Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-12,92301,"""Adelanto                      """,8472,16,0.4,0.9,17.3,0.3,67.5,0.4,3.4,3.5,6.2,72.4,8.2,32,43.3,42.9,21.2,10,363,183,180,39,14,7.3,30.6,15.22,25.04,21315,0,0,61,12,7,10,6
Alameda County Office of Education (Alameda),Alameda,County Office of Education (COE),No,K-12,94544,"""Hayward                       """,4034,24.7,0.4,19.6,13.3,1.9,44.1,0.8,9.5,2.4,8,54.2,21.1,58,57.2,51.4,21.4,21,207,186,186,52,9,2.2,17.5,0,8.47,N/A,0,0,7,14,36,36,5
Alameda Unified (Alameda),Alameda,Unified School District,No,K-12,94501,"""Alameda                       """,10771,8.4,0.3,24.8,7,4.4,17.7,0.5,15.6,3,26.7,36.3,17.74,69,93.8,92.1,21.3,32,442,186,180,90,13,2.6,12.9,59.96,68.21,18559,0,2,60,10,6,11,11
Albany City Unified (Alameda),Alameda,Unified School District,No,K-12,94706,"""Albany                        """,3694,12.1,0.2,30.5,3.8,1.6,17.7,0.1,13.4,8.4,24.3,31.8,24.39,63,98.6,98.4,20.6,13,167,184,180,29,12,1.3,10.7,67.63,76.78,18118,0,1,62,7,7,11,10
Alexander Valley Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-06,95448,"""Healdsburg                    """,111,4.5,0,0,0.9,0,29.7,0,3.6,0.9,64.9,25.2,8.11,33,N/A,N/A,12.3,0,10,N/A,N/A,0,23,0,7.8,59.68,74.19,27677,0,0,59,6,11,13,10
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91803,"""Alhambra                      """,14597,25.6,0.1,47.1,0.6,2.5,42.2,0,3.3,2.3,1.9,48,30.72,42,94.3,95,22.5,0,628,187,180,29,17,1.3,9.7,53.23,63.77,20649,0,1,54,14,7,13,11
