ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2024-25,State Abbr [District] Latest available year,Agency Name [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2024-25,County Number [District] 2024-25,ANSI/FIPS State Code [District] Latest available year,Web Site URL [District] 2024-25,Total Number Operational Schools [Public School] 2024-25,Total Number Operational Charter Schools [Public School] 2024-25,Agency Type [District] 2024-25,Locale [District] 2024-25,Start of Year Status [District] 2024-25,Updated Status [District] 2024-25,Effective Date of Updated Status [District] 2024-25,CBSA Name [District] 2024-25,CBSA ID [District] 2024-25,CSA Name [District] 2024-25,CSA ID [District] 2024-25,Latitude [District] 2024-25,Longitude [District] 2024-25,State Agency ID [District] 2024-25,Supervisory Union (ID) Number [District] 2024-25,Metro Micro Area Code [District] 2024-25,Congressional Code [District] 2024-25,LEA Charter Status [District] 2024-25,Agency Level (SY 2017-18 onward) [District] 2024-25,Lowest Grade Offered [District] 2024-25,Highest Grade Offered [District] 2024-25,Total Students All Grades (Excludes AE) [District] 2024-25,Total Students All Grades (Includes AE) [District] 2024-25,Male Students [District] 2024-25,Female Students [District] 2024-25,American Indian/Alaska Native Students [District] 2024-25,Asian or Asian/Pacific Islander Students [District] 2024-25,Hispanic Students [District] 2024-25,Black or African American Students [District] 2024-25,White Students [District] 2024-25,Nat. Hawaiian or Other Pacific Isl. Students [District] 2024-25,Two or More Races Students [District] 2024-25,Total Race/Ethnicity [District] 2024-25,American Indian/Alaska Native - male [District] 2024-25,American Indian/Alaska Native - female [District] 2024-25,Asian or Asian/Pacific Islander - male [District] 2024-25,Asian or Asian/Pacific Islander - female [District] 2024-25,Hispanic - male [District] 2024-25,Hispanic - female [District] 2024-25,Black or African American - male [District] 2024-25,Black or African American - female [District] 2024-25,White - male [District] 2024-25,White - female [District] 2024-25,Nat. Hawaiian or Other Pacific Isl. - male [District] 2024-25,Nat. Hawaiian or Other Pacific Isl. - female [District] 2024-25,Two or More Races - male [District] 2024-25,Two or More Races - female [District] 2024-25,Full-Time Equivalent (FTE) Teachers [District] 2024-25,Pupil/Teacher Ratio [District] 2024-25,Total Staff [District] 2024-25,Paraprofessionals/Instructional Aides [District] 2024-25,Instructional Coordinators [District] 2024-25,Elementary School Counselor [District] 2024-25,Secondary School Counselor [District] 2024-25,Other Guidance Counselors [District] 2024-25,Total Guidance Counselors [District] 2024-25,Librarians/media specialists [District] 2024-25,Media Support Staff [District] 2024-25,LEA Administrators [District] 2024-25,LEA Administrative Support Staff [District] 2024-25,School Administrators [District] 2024-25,School Administrative Support Staff [District] 2024-25,Student Support Services Staff (w/o Psychology) [District] 2024-25,School Psychologist [District] 2024-25,Other Support Services Staff [District] 2024-25,Location ZIP [District] 2024-25,Location ZIP4 [District] 2024-25,Location City [District] 2024-25
ABC UNIFIED,California,CALIFORNIA,CA ,ABC Unified,0601620,Los Angeles County,06037,06,http://www.abcusd.us,31,0,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,1-Open,1-Open,07/23/2025         ,Los Angeles-Long Beach-Anaheim CA,31080,Los Angeles-Long Beach CA,348,33.879715,-118.071463,CA-1964212,    ,1-Metropolitan Area,0645,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,Other,Kindergarten,12th Grade,17612,17612,9098,8509,34,6208,8043,1174,788,92,1268,17607,18,16,3221,2987,4171,3872,579,595,421,367,50,42,638,630,779.33,22.60,1612.68,77.39,11.50,12.20,15.50,4.10,31.80,0.00,0.00,16.00,31.75,56.00,76.00,53.15,16.00,463.76,90703,1838,Cerritos
ABLE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,CA ,ABLE Charter District,0601628,San Joaquin County,06077,06,http://www.ablecharter.com,1,1,7-Independent Charter District,11-City: Large,1-Open,1-Open,07/23/2025         ,Stockton-Lodi CA,44700,San Jose-San Francisco-Oakland CA,488,38.010194,-121.316825,CA-0126755,    ,1-Metropolitan Area,0609,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Other,Kindergarten,12th Grade,1186,1186,594,592,4,97,805,116,81,9,74,1186,2,2,44,53,410,395,60,56,41,40,5,4,32,42,58.09,20.42,130.09,16.00,0.50,0.00,0.00,3.00,3.00,0.00,0.00,6.00,0.00,4.00,9.00,0.00,0.50,33.00,95207,3871,Stockton
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,CA ,Academia Avance Charter District,0602291,Los Angeles County,06037,06,http://www.academiaavance.org,1,1,7-Independent Charter District,11-City: Large,1-Open,1-Open,07/23/2025         ,Los Angeles-Long Beach-Anaheim CA,31080,Los Angeles-Long Beach CA,348,34.107778,-118.198250,CA-0109926,    ,1-Metropolitan Area,0634,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,High,6th Grade,12th Grade,207,207,98,109,1,4,201,1,0,0,0,207,0,1,2,2,95,106,1,0,0,0,0,0,0,0,9.05,22.87,28.05,3.50,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,11.50,90042,4005,Highland Park
ACADEMIA MODERNA DISTRICT,CALIFORNIA,CALIFORNIA,CA ,Academia Moderna District,0602361,Los Angeles County,06037,06,http://academiamoderna.org/,1,1,7-Independent Charter District,21-Suburb: Large,1-Open,1-Open,07/23/2025         ,Los Angeles-Long Beach-Anaheim CA,31080,Los Angeles-Long Beach CA,348,33.966570,-118.229797,CA-0120097,    ,1-Metropolitan Area,0642,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Elementary,Kindergarten,5th Grade,408,408,178,230,0,0,406,0,0,0,2,408,0,0,0,0,177,229,0,0,0,0,0,0,1,1,20.00,20.40,51.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,2.00,3.00,0.00,0.50,23.50,90255,6342,Walnut Park
ACADEMY FOR ACADEMIC EXCELLENCE DISTRICT,CALIFORNIA,CALIFORNIA,CA ,Academy for Academic Excellence District,0601911,San Bernardino County,06071,06,http://aae.lewiscenter.org,1,1,7-Independent Charter District,41-Rural: Fringe,1-Open,1-Open,07/23/2025         ,Riverside-San Bernardino-Ontario CA,40140,Los Angeles-Long Beach CA,348,34.532169,-117.278596,CA-3631207,    ,1-Metropolitan Area,0623,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Other,Kindergarten,12th Grade,1489,1489,763,726,4,52,692,43,595,0,103,1489,2,2,29,23,341,351,26,17,316,279,0,0,49,54,68.30,21.80,134.18,16.69,0.00,0.00,0.00,2.00,2.00,0.00,0.00,9.00,0.00,0.00,10.64,3.00,1.00,23.55,92307,2181,Apple Valley
ACADEMY OF CREATIVE TECHNOLOGIES - ANTELOPE VALLEY DISTRICT,CALIFORNIA,CALIFORNIA,CA ,Academy Of Creative Technologies - Antelope Valley District,0691158,Los Angeles County,06037,06,http://www.createtechav.org,0,0,7-Independent Charter District,21-Suburb: Large,7-Future,7-Future,07/23/2025         ,Los Angeles-Long Beach-Anaheim CA,31080,Los Angeles-Long Beach CA,348,34.602321,-118.154818,CA-0162628,    ,1-Metropolitan Area,0627,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Not Reported,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,93551,3182,Palmdale
ACALANES UNION HIGH,California,CALIFORNIA,CA ,Acalanes Union High,0601650,Contra Costa County,06013,06,http://www.acalanes.k12.ca.us,5,0,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,1-Open,1-Open,07/23/2025         ,San Francisco-Oakland-Fremont CA,41860,San Jose-San Francisco-Oakland CA,488,37.905787,-122.099170,CA-0761630,    ,1-Metropolitan Area,0610,Not a charter district – State has charter LEAs but this LEA is not a charter LEA,High,9th Grade,12th Grade,5425,5425,2796,2607,9,928,659,89,3053,12,653,5403,5,4,477,451,341,318,45,44,1560,1493,7,5,361,292,280.98,19.31,518.39,40.73,4.33,0.00,17.80,0.00,17.80,5.00,0.00,3.33,21.50,12.93,39.75,5.59,6.40,80.05,94549,2623,Lafayette
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,CA ,Accelerated Charter Elementary District,0601471,Los Angeles County,06037,06,http://www.accelerated.org/our-schools/aces/,1,1,7-Independent Charter District,11-City: Large,1-Open,1-Open,07/23/2025         ,Los Angeles-Long Beach-Anaheim CA,31080,Los Angeles-Long Beach CA,348,34.011763,-118.273784,CA-0100743,    ,1-Metropolitan Area,0637,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Elementary,Kindergarten,6th Grade,526,526,285,241,0,0,516,5,5,0,0,526,0,0,0,0,280,236,2,3,3,2,0,0,0,0,16.00,32.88,47.31,15.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,0.00,1.00,5.00,1.33,0.00,5.00,90037,1253,Los Angeles
ACCELERATED DISTRICT,CALIFORNIA,CALIFORNIA,CA ,Accelerated District,0601732,Los Angeles County,06037,06,http://www.accelerated.org/our-schools/tas/,1,1,7-Independent Charter District,11-City: Large,1-Open,1-Open,07/23/2025         ,Los Angeles-Long Beach-Anaheim CA,31080,Los Angeles-Long Beach CA,348,34.010811,-118.273723,CA-6112536,    ,1-Metropolitan Area,0637,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Elementary,Kindergarten,8th Grade,729,729,367,362,0,0,718,4,7,0,0,729,0,0,0,0,360,358,3,1,4,3,0,0,0,0,36.77,19.83,105.65,25.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,3.04,0.00,2.00,18.00,0.34,0.00,18.50,90037,1022,Los Angeles
ACE CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,CA ,ACE Charter High District,0601561,Santa Clara County,06085,06,http://www.acecharter.org,1,1,7-Independent Charter District,11-City: Large,1-Open,1-Open,07/23/2025         ,San Jose-Sunnyvale-Santa Clara CA,41940,San Jose-San Francisco-Oakland CA,488,37.366775,-121.857906,CA-0125617,    ,1-Metropolitan Area,0617,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,High,9th Grade,12th Grade,313,313,173,140,0,2,303,2,4,0,2,313,0,0,1,1,166,137,1,1,3,1,0,0,2,0,16.42,19.06,26.34,1.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,2.17,1.75,0.00,0.00,3.00,95133,1703,San Jose
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,CA ,ACE Empower Academy District,0602217,Santa Clara County,06085,06,http://www.acecharter.org,1,1,7-Independent Charter District,11-City: Large,1-Open,1-Open,07/23/2025         ,San Jose-Sunnyvale-Santa Clara CA,41940,San Jose-San Francisco-Oakland CA,488,37.348460,-121.843510,CA-0116814,    ,1-Metropolitan Area,0618,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Middle,5th Grade,8th Grade,189,189,100,89,0,6,183,0,0,0,0,189,0,0,1,5,99,84,0,0,0,0,0,0,0,0,8.02,23.57,14.17,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,2.00,0.00,0.00,1.50,95116,3423,San Jose
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,CA ,ACE Esperanza Middle District,0601852,Santa Clara County,06085,06,http://www.acecharter.org,1,1,7-Independent Charter District,11-City: Large,1-Open,1-Open,07/23/2025         ,San Jose-Sunnyvale-Santa Clara CA,41940,San Jose-San Francisco-Oakland CA,488,37.327235,-121.845743,CA-0129247,    ,1-Metropolitan Area,0616,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Middle,5th Grade,8th Grade,205,205,116,89,0,19,183,0,1,0,2,205,0,0,10,9,104,79,0,0,1,0,0,0,1,1,9.03,22.70,14.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,2.50,95112,2865,San Jose
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,CA ,ACE Inspire Academy District,0602138,Santa Clara County,06085,06,http://www.acecharter.org,1,1,7-Independent Charter District,11-City: Large,1-Open,1-Open,07/23/2025         ,San Jose-Sunnyvale-Santa Clara CA,41940,San Jose-San Francisco-Oakland CA,488,37.352169,-121.873099,CA-0131656,    ,1-Metropolitan Area,0618,Charter district which is an LEA for programs authorized under IDEA ESEA and Perkins,Middle,5th Grade,8th Grade,205,205,105,100,0,1,199,1,0,0,4,205,0,0,0,1,102,97,1,0,0,0,0,0,2,2,8.19,25.03,15.69,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,3.00,95112,6334,San Jose
