dist_name,performance_tier,final_z_standardized,plus_minus_spots,component_rank_spread,assist_status,ela_projected_raw,ela_actual_raw,math_projected_raw,math_actual_raw
Scotia Union Elementary (Humboldt),Significant Overperformer,2.420949157529709,38.0,17.0,Differentiated,37.98135874975121,68.18181818181817,27.485940174549427,71.21212121212122
Temple City Unified (Los Angeles),Significant Overperformer,2.420949157529709,26.5,116.0,General,53.88425856662744,69.02797704447633,43.91207572920089,65.91960156527927
Hope Elementary (Santa Barbara),Significant Overperformer,2.420949157529709,32.5,339.0,General,42.254740861989944,50.331125827814574,33.260121218642425,54.3046357615894
Jacoby Creek Elementary (Humboldt),Significant Overperformer,2.420949157529709,22.0,17.0,General,47.45324612817073,75.42662116040955,37.653089887393364,65.41095890410958
Clay Joint Elementary (Fresno),Significant Overperformer,2.420949157529709,31.5,9.0,General,45.57075480340396,75.0,36.95999799920815,75.56818181818183
Mountain Valley Unified (Trinity),Significant Overperformer,2.420949157529709,25.5,30.0,General,28.600549847291102,54.33526011560693,17.717289970664638,50.28901734104046
Garden Grove Unified (Orange),Significant Overperformer,2.420949157529709,11.0,81.0,General,42.187650274290924,60.20544647156385,30.836961436277207,50.718214342927325
Hope Elementary (Tulare),Significant Overperformer,2.420949157529709,32.5,112.0,General,37.4342337436847,50.331125827814574,27.206460938990293,54.3046357615894
Douglas City Elementary (Trinity),Significant Overperformer,2.420949157529709,42.5,1.0,General,30.670028484298733,70.0,22.00474342673558,66.36363636363637
Columbine Elementary (Tulare),Significant Overperformer,2.408471245915833,41.5,14.0,General,43.77301295079877,67.85714285714286,34.877919610037125,66.07142857142857
Delano Joint Union High (Kern),Significant Overperformer,2.354103874048181,20.0,237.0,General,41.40612494903482,62.540021344717175,19.54582609656483,29.260450160771708
Kings Canyon Joint Unified (Fresno),Significant Overperformer,2.3371647086302003,14.0,40.0,Differentiated,39.13778774160967,55.46062789500772,25.380744431935586,42.67184148707997
Rosemead Elementary (Los Angeles),Significant Overperformer,2.295273538773659,59.0,41.0,General,42.903456622320356,59.23694779116466,33.416120940642315,54.16124837451235
Garvey Elementary (Los Angeles),Significant Overperformer,2.2889815225423344,38.0,61.0,General,42.261118897019415,55.90290547995587,31.998905072266126,51.88343994314144
South Pasadena Unified (Los Angeles),Significant Overperformer,2.283921390300047,35.5,95.0,General,66.93245912189829,84.17467948717949,59.38541792151739,78.95367412140575
Delano Union Elementary (Kern),Significant Overperformer,2.235379870526896,22.5,117.0,General,36.41026517587637,51.09489051094891,24.15737395357425,35.69707401032702
Rio Dell Elementary (Humboldt),Significant Overperformer,2.217041675566975,37.0,162.0,General,32.10912993107775,41.711229946524064,20.833583051770812,39.34426229508197
Fountain Valley Elementary (Orange),Significant Overperformer,2.1948917296825874,31.5,46.0,Differentiated,61.92003378049641,78.81377230459915,54.392047680475685,74.13320029932652
Bonita Unified (Los Angeles),Significant Overperformer,2.166482608020311,28.0,58.0,General,55.1557012417469,73.59126984126985,43.69880747122338,63.41318550782024
